Parent_CHEMBL_ID	Compound_name	Standardized_Molecule (InChI Key)	Canonical_SMILES	OATP1B1_active	OATP1B3_active	OATP2B1_active	OATP1B1+pValue	OATP1B3+pValue	OATP2B1+pValue
CHEMBL6246	ELLAGIC ACID	AFSDNFLWKVMVRB-UHFFFAOYSA-N	O=c1oc2c(O)c(O)cc3c(=O)oc4c(O)c(O)cc1c4c23	0.0	0.0				
CHEMBL454446	CEFDITOREN PIVOXIL	AFZFFLVORLEPPO-DGQFBIKGSA-N	CO/N=C(\C(=O)NC1C(=O)N2C(C(=O)OCOC(=O)C(C)(C)C)=C(/C=C\c3scnc3C)CSC12)c1csc(N)n1	0.0	0.0				
CHEMBL12690		AGJBLWCLQCKRJP-UHFFFAOYSA-N	CCN(CC)CCOC(=O)C(c1ccccc1)C1CCCCC1	0.0					
CHEMBL336429		AGOYDEPGAOXOCK-UHFFFAOYSA-N	CCC1OC(=O)C(C)C(OC2CC(C)(OC)C(O)C(C)O2)C(C)C(OC2OC(C)CC(N(C)C)C2O)C(C)(OC)CC(C)C(=O)C(C)C(O)C1(C)O	1.0	1.0	0.0			
CHEMBL175247	ORLISTAT	AHLBNYSZXLDEJQ-UHFFFAOYSA-N	CCCCCCCCCCCC(CC1OC(=O)C1CCCCCC)OC(=O)C(CC(C)C)NC=O	0.0	0.0				
CHEMBL6251		AHLPHDHHMVZTML-UHFFFAOYSA-N	NCCCC(N)C(=O)O	0.0	0.0				
CHEMBL490	PAROXETINE	AHOUBRCZNHFOSL-UHFFFAOYSA-N	Fc1ccc(C2CCNCC2COc2ccc3c(c2)OCO3)cc1	0.0	0.0	0.0			
CHEMBL513107	AXINYSONE D	AHVKNBRJVKCGKJ-UHFFFAOYSA-N	CC1(O)CC2C(CC1O)C2(C)C		0.0				
		AHWOEMBXZXGDBQ-BQYQJAHWSA-N	CC(C)C(C)/C=C/C(C)C1CCC2C3=CCC4CC(=O)CCC4(C)C3CCC21C	0.0	0.0				
CHEMBL377324	GINKGETIN	AIFCFBUSLAEIBR-UHFFFAOYSA-N	COc1cc(O)c2c(=O)cc(-c3ccc(OC)c(-c4c(O)cc(O)c5c(=O)cc(-c6ccc(O)cc6)oc45)c3)oc2c1	1.0	1.0				
CHEMBL269538	HARMINE	AIFRHYZBTHREPW-UHFFFAOYSA-N	c1ccc2c(c1)[nH]c1cnccc12	0.0	0.0				
CHEMBL9509		AIONOLUJZLIMTK-UHFFFAOYSA-N	COc1ccc(C2CC(=O)c3c(O)cc(O)cc3O2)cc1O	0.0					
CHEMBL15808		AJNMXMZCRHTBEH-UHFFFAOYSA-N	Cc1[nH]c2ccccc2c1CN(C)C	1.0	0.0				
CHEMBL190246		AKNNEGZIBPJZJG-UHFFFAOYSA-N	COc1ccc2c(c1OC)C(=O)OC2C1c2c(cc3c(c2OC)OCO3)CCN1C		0.0				
		AKPJXLBXDLSOFY-UHFFFAOYSA-N	CC(=O)OC1CC(OC(C)=O)C2(C)C(CC(OC(C)=O)C3(C)C2CCC2(C)C(c4ccoc4)C(=O)C4OC423)C1(C)C	1.0	0.0				
CHEMBL977	HYDROCORTISONE HEMISUCCINATE	ALEXXDVDDISNDU-UHFFFAOYSA-N	CC(=O)OCC(=O)C1(O)CCC2C3CCC4=CC(=O)CCC4(C)C3C(O)CC21C	0.0	0.0				
CHEMBL269559		ALKTVPFKDYZFGA-UHFFFAOYSA-N	CC(=O)OC1c2c(ccc3ccc(=O)oc23)OC(C)(C)C1OC(=O)CC(C)C	0.0					
CHEMBL1697771	REBAMIPIDE	ALLWOAVDORUJLA-UHFFFAOYSA-N	O=C(NC(Cc1cc(=O)[nH]c2ccccc12)C(=O)O)c1ccc(Cl)cc1	0.0					
CHEMBL278020	NEOSTIGMINE	ALWKGYPQUAPLQC-UHFFFAOYSA-N	CN(C)C(=O)Oc1cccc([N+](C)(C)C)c1	0.0					
CHEMBL6609		ALYNCZNDIQEVRV-UHFFFAOYSA-N	Nc1ccc(C(=O)O)cc1	0.0	0.0				
		AMBQHHVBBHTQBF-UHFFFAOYSA-N	COC(=O)C1=COC(OC2OC(CO)C(O)C(O)C2O)C2C1CC(O)C2C	0.0	0.0				
CHEMBL8620		AMKYESDOVDKZKV-UHFFFAOYSA-N	Cc1cc(O)cc(O)c1C(=O)O	0.0	0.0				
		AMTSLHRSERHBCF-UHFFFAOYSA-N	C=C1CC2OC2(C)CCC2C1CC2(C)C	0.0	0.0				
CHEMBL47039		ANJTVLIZGCUXLD-UHFFFAOYSA-N	O=c1cccc2n1CC1CNCC2C1	0.0					
CHEMBL18351		ANVFDWBCVDQNEZ-UHFFFAOYSA-N	COc1ccc(-c2cc(=O)c3cc(OC)ccc3o2)cc1	1.0					
CHEMBL460499	CARMOFUR	AOCCBINRVIKJHY-UHFFFAOYSA-N	CCCCCCNC(=O)n1cc(F)c(=O)[nH]c1=O		0.0				
CHEMBL6608		AOJJSUZBOXZQNB-UHFFFAOYSA-N	COc1cccc2c1C(=O)c1c(O)c3c(c(O)c1C2=O)CC(O)(C(=O)CO)CC3OC1CC(N)C(O)C(C)O1	0.0	0.0	0.0			
		AOUYWWJPLUTFAB-UHFFFAOYSA-N	COC(=O)CC1C(C)(C)C(OC(C)=O)C2C(OC(C)=O)C34OC2(O)C1(C)C3CCC1(C)C4=CC(=O)OC1c1ccoc1	1.0	1.0				
CHEMBL275084	ISOBUTYLMETHYLXANTHINE	APIXJSLKIYYUKG-UHFFFAOYSA-N	CC(C)Cn1c(=O)n(C)c(=O)c2nc[nH]c21		0.0				
		APKFDSVGJQXUKY-OWUAHMPBSA-N	CC1C=CC=CC=CC=CC=CC=CC=CC(OC2OC(C)C(O)C(N)C2O)CC2OC(O)(CC(O)CC(O)C(O)CCC(O)CC(O)CC(=O)OC(C)C(C)C1O)CC(O)C2C(=O)O	0.0	0.0				
		APNJDIVXMGGHDX-UHFFFAOYSA-N	CC1(C)C(O)C=CC2(C)C1CC(=O)C1(C)C2CCC2(C)C(c3ccoc3)OC(=O)C3OC321	1.0	1.0				
CHEMBL14680		APQPRKLAWCIJEK-UHFFFAOYSA-N	NCCSSCCN		0.0				
CHEMBL878	METOLAZONE	AQCHWTWZEMGIFD-UHFFFAOYSA-N	Cc1ccccc1N1C(=O)c2cc(S(N)(=O)=O)c(Cl)cc2NC1C	0.0	0.0				
CHEMBL27	PROPRANOLOL	AQHHHDLHHXJYJD-UHFFFAOYSA-N	CC(C)NCC(O)COc1cccc2ccccc12	0.0	0.0	0.0			
CHEMBL30	CIMETIDINE	AQIXAKUUQRKLND-UHFFFAOYSA-N	CN=C(NC#N)NCCSCc1[nH]cnc1C	0.0	0.0		3.5229		
		AQKDBFWJOPNOKZ-UHFFFAOYSA-N	CC1C(=O)C(=O)C=C2C1=CC=C1C2(C)CCC2(C)C3CC(C)(C(=O)O)CCC3(C)CCC12C		0.0				
	CALOXETIC ACID	AQOXEJNYXXLRQQ-UHFFFAOYSA-N	CCOc1ccc(CC(CN(CCN(CC(=O)O)CC(=O)O)CC(=O)O)N(CC(=O)O)CC(=O)O)cc1	0.0	0.0		3.2218	3.3979	
CHEMBL164	MYRICETIN	ARSRJFRKVXALTF-UHFFFAOYSA-N	O=c1cc(-c2cc(O)c(O)c(O)c2)oc2cc(O)cc(O)c12	0.0					
CHEMBL8115		ASTPOGDWGNJVEW-UHFFFAOYSA-N	COc1c(O)cc(O)cc1O	0.0					
CHEMBL446	SULFAMETHAZINE	ASWVTGNCAZCNNR-UHFFFAOYSA-N	Cc1cc(C)nc(NS(=O)(=O)c2ccc(N)cc2)n1	0.0	0.0				
		ASXBYYWOLISCLQ-UHFFFAOYSA-N	CNC1C(OC2C(OC3C(O)C(O)C(NC(=N)N)C(O)C3NC(=N)N)OC(C)C2(O)CO)OC(CO)C(O)C1O	0.0	0.0				
CHEMBL276618	4-METHYLDAPHNETIN	ATEFPOUAMCWAQS-UHFFFAOYSA-N	O=c1ccc2ccc(O)c(O)c2o1	0.0	0.0				
CHEMBL423702		AUNGANRZJHBGPY-UHFFFAOYSA-N	Cc1cc2nc3c(=O)[nH]c(=O)nc-3n(CC(O)C(O)C(O)CO)c2cc1C	0.0	0.0				
		AURFZBICLPNKBZ-UHFFFAOYSA-N	CC(=O)C1CCC2C3CCC4CC(O)CCC4(C)C3CCC12C	1.0	0.0				
CHEMBL964	DISULFIRAM	AUZONCFQVSMFAP-UHFFFAOYSA-N	CCN(CC)C(=S)SSC(=S)N(CC)CC	0.0	0.0	0.0			
CHEMBL284028	2,3-DIHYDROXY-6,7-DICHLOROQUINOXALINE	AVBSIKMUAFYZAV-UHFFFAOYSA-N	O=c1[nH]c2cc(Cl)c(Cl)cc2[nH]c1=O	0.0	0.0				
		AVKUERGKIZMTKX-UHFFFAOYSA-N	CC1(C)SC2C(NC(=O)C(N)c3ccccc3)C(=O)N2C1C(=O)O	0.0	0.0		2.0	2.0	
		AWDRATDZQPNJFN-UHFFFAOYSA-N	CC(CCC(=O)NCCS(=O)(=O)O)C1CCC2C3CCC4CC(O)CCC4(C)C3CC(O)C12C	1.0	1.0	1.0			
		AXRYRYVKAWYZBR-UHFFFAOYSA-N	COC(=O)NC(C(=O)NC(Cc1ccccc1)C(O)CN(Cc1ccc(-c2ccccn2)cc1)NC(=O)C(NC(=O)OC)C(C)(C)C)C(C)(C)C	1.0	1.0	1.0	5.8239	5.699	
CHEMBL280481	VERLUKAST	AXUZQJFHDNNPFG-UXBLZVDNSA-N	CN(C)C(=O)CCSC(SCCC(=O)O)c1cccc(/C=C/c2ccc3ccc(Cl)cc3n2)c1	1.0	1.0	1.0	5.91195	6.61095	6.699
		AZGNIKZHFDJEPU-UHFFFAOYSA-N	CC(=O)OC1CC2C(C)(C)C(=O)C3OC3C2(C)C2CCC3(C)C(c4ccoc4)OC(=O)C4OC43C12C	0.0	0.0				
		AZSNMRSAGSSBNP-JHJAMYNOSA-N	CCC(C)C1OC2(CCC1C)CC1CC(CC=C(C)C(OC3CC(OC)C(OC4CC(OC)C(O)C(C)O4)C(C)O3)C(C)C=CC=C3COC4C(O)C(C)=CC(C(=O)O1)C34O)O2	1.0	1.0	0.0			
		BBAWEDCPNXPBQM-UHFFFAOYSA-N	CCCC(NC(=O)C1C2CCCC2CN1C(=O)C(NC(=O)C(NC(=O)c1cnccn1)C1CCCCC1)C(C)(C)C)C(=O)C(=O)NC1CC1	1.0	1.0		5.6576	5.1675	
CHEMBL472561	FLUROCITABINE	BBDAGFIXKZCXAH-UHFFFAOYSA-N	N=c1ccn2c(n1)OC1C(O)C(CO)OC12	0.0	0.0				
CHEMBL93353	ARISTOLOCHIC ACID	BBFQZRXNYIEMAW-UHFFFAOYSA-N	COc1cccc2c1cc([N+](=O)[O-])c1c(C(=O)O)cc3c(c12)OCO3	0.0					
		BBMULGJBVDDDNI-UHFFFAOYSA-N	CCC(C(=O)C(C)C(O)C(C)CCc1ccc(C)c(O)c1C(=O)O)C1OC(CC)(C2CCC(O)(CC)C(C)O2)CC1C	1.0	1.0				
CHEMBL418453		BBNQQADTFFCFGB-UHFFFAOYSA-N	O=C1c2ccccc2C(=O)c2c(O)c(O)cc(O)c21		0.0				
		BBSPXZBAZKHYLF-UHFFFAOYSA-N	CC1(C)C(O)CC(O)C2(C)C1CC(=O)C1(C)C2CCC2(C)C(c3ccoc3)OC(=O)C3OC321	1.0	0.0				
CHEMBL554	LAPATINIB	BCFGMOOMADDAQU-UHFFFAOYSA-N	CS(=O)(=O)CCNCc1ccc(-c2ccc3ncnc(Nc4ccc(OCc5cccc(F)c5)c(Cl)c4)c3c2)o1	1.0	0.0		6.4318	4.4713	
CHEMBL11	IMIPRAMINE	BCGWQEUPMDMJNV-UHFFFAOYSA-N	CN(C)CCCN1c2ccccc2CCc2ccccc21	0.0	0.0	0.0			
CHEMBL163442		BCQTVJKBTWGHCX-UHFFFAOYSA-N	Cc1cccc(C)c1NC(=O)CC12CCCN1CCC2	0.0		0.0			
		BCYMEDQAEFBAKK-UHFFFAOYSA-N	COC(=O)CCC(=O)OC1CCC2(C)C(CCC3C2C(=O)C(O)C2(C)C3CC3OC4(CCC(C)CO4)C(C)C32)C1		0.0				
CHEMBL1201304	INDOCYANINE GREEN	BDBMLMBYCXNVMC-UHFFFAOYSA-N	CC1(C)C(=CC=CC=CC=CC2=[N+](CCCCS(=O)(=O)O)c3ccc4ccccc4c3C2(C)C)N(CCCCS(=O)(=O)[O-])c2ccc3ccccc3c21	1.0	1.0	1.0	6.9508		
CHEMBL3039039	IRIGENIN, DIBENZYL ETHER	BDFCYBFDARSRDM-UHFFFAOYSA-N	COc1cc(-c2coc3cc(OCc4ccccc4)c(OC)c(O)c3c2=O)cc(OCc2ccccc2)c1OC	0.0	0.0				
CHEMBL267233		BEJNERDRQOWKJM-UHFFFAOYSA-N	O=c1cc(CO)occ1O	0.0	0.0				
CHEMBL42442	OXFENDAZOLE	BEZZFPOZAYTVHN-UHFFFAOYSA-N	COC(=O)Nc1nc2ccc([S+]([O-])c3ccccc3)cc2[nH]1	0.0					
CHEMBL1559418	2-METHYL-5,7,8-TRIMETHOXYISOFLAVONE	BFCBHPPLWHZOIQ-UHFFFAOYSA-N	COc1cc(OC)c2c(=O)c(-c3ccccc3)c(C)oc2c1OC		0.0				
CHEMBL1200761	CHLOROTRIANISENE	BFPSDSIWYFKGBC-UHFFFAOYSA-N	COc1ccc(C(Cl)=C(c2ccc(OC)cc2)c2ccc(OC)cc2)cc1	0.0	0.0				
		BFPYWIDHMRZLRN-UHFFFAOYSA-N	C#CC1(O)CCC2C3CCc4cc(O)ccc4C3CCC21C	1.0	0.0				
CHEMBL2028663	DABRAFENIB	BFSMGDJOXZAERB-UHFFFAOYSA-N	CC(C)(C)c1nc(-c2cccc(NS(=O)(=O)c3c(F)cccc3F)c2F)c(-c2ccnc(N)n2)s1	1	1				
		BFUCTROUWLSVBH-UHFFFAOYSA-N	C=C1C(C2(C)C=CC(=O)C(C)(C)C2CC(=O)OC)CCC2(C)C(c3ccoc3)OC(=O)C3OC132		0.0				
CHEMBL254857	FIPEXIDE	BFUJHVVEMMWLHC-UHFFFAOYSA-N	O=C(COc1ccc(Cl)cc1)N1CCN(Cc2ccc3c(c2)OCO3)CC1	0.0	0.0		4.4622		
CHEMBL1200604	TROPICAMIDE	BGDKAVGWHJFAGW-UHFFFAOYSA-N	CCN(Cc1ccncc1)C(=O)C(CO)c1ccccc1	0.0	0.0				
CHEMBL24171	BERGAPTEN	BGEBZHIAGXMEMV-UHFFFAOYSA-N	COc1c2ccoc2cc2oc(=O)ccc12	0.0	0.0				
CHEMBL3039066	DEHYDRODIHYDROROTENONE	BHCBWJBSVOKHRJ-UHFFFAOYSA-N	COc1cc2c(cc1OC)-c1c(oc3c4c(ccc3c1=O)OC(C(C)C)C4)CO2	0.0	0.0				
		BHQCQFFYRZLCQQ-UHFFFAOYSA-N	CC(CCC(=O)O)C1CCC2C3C(O)CC4CC(O)CCC4(C)C3CC(O)C12C	0.0	0.0	0.0	4.6021		
		BHTRKEVKTKCXOH-UHFFFAOYSA-N	CC(CCC(=O)NCCS(=O)(=O)O)C1CCC2C3C(O)CC4CC(O)CCC4(C)C3CCC12C	1.0	1.0	0.0			
		BIDNLKIUORFRQP-UHFFFAOYSA-N	CCC(=O)OC(OP(=O)(CCCCc1ccccc1)CC(=O)N1CC(C2CCCCC2)CC1C(=O)O)C(C)C	1.0	1.0		5.202	5.2848	
CHEMBL196537	CHLORDANE	BIWJNBZANLAXMG-UHFFFAOYSA-N	ClC1=C(Cl)C2(Cl)C3C(Cl)C(Cl)CC3C1(Cl)C2(Cl)Cl	0.0					
		BKMBRDSUUATCQZ-UHFFFAOYSA-N	O=C1C(=O)C(O)C(=O)C(O)C1=O		0.0				
		BKMMTJMQCTUHRP-UHFFFAOYSA-N	CC(N)CO	0.0					
CHEMBL235389		BKYWAYNSDFXIPL-UHFFFAOYSA-N	CC(=O)Oc1cc(OC(C)=O)c2c(c1)OC(c1ccc(OC(C)=O)c(OC(C)=O)c1)C(OC(C)=O)C2	0.0	0.0				
CHEMBL10347	RAUWOLSCINE	BLGXFZZNTVWLAY-UHFFFAOYSA-N	COC(=O)C1C(O)CCC2CN3CCc4c([nH]c5ccccc45)C3CC21	0.0	0.0				
		BLMPQMFVWMYDKT-UHFFFAOYSA-N	CC(C)CC(NC(=O)C(CCc1ccccc1)NC(=O)CN1CCOCC1)C(=O)NC(Cc1ccccc1)C(=O)NC(CC(C)C)C(=O)C1(C)CO1	1.0	1.0		6.4202	6.0458	
CHEMBL77	ARTEMISIN	BLUAFEHZUWYNDE-UHFFFAOYSA-N	CC1CCC2C(C)C(=O)OC3OC4(C)CCC1C32OO4		0.0				
CHEMBL67128		BMCQMVFGOVHVNG-UHFFFAOYSA-N	CCCC(=O)OC1(C(=O)CO)CCC2C3CCC4=CC(=O)CCC4(C)C3C(O)CC21C		0.0				
		BMLIIPOXVWESJG-UHFFFAOYSA-N	COc1cc(C2Oc3c(O)cc(C4Oc5cc(O)cc(O)c5C(=O)C4O)cc3C2CO)ccc1O	1.0	0.0	1.0			
		BMQGVNUXMIRLCK-UHFFFAOYSA-N	COC1C(=O)C2(C)C(OC)CC3OCC3(OC(C)=O)C2C(OC(=O)c2ccccc2)C2(O)CC(OC(=O)C(O)C(NC(=O)OC(C)(C)C)c3ccccc3)C(C)=C1C2(C)C	1	1				
CHEMBL1197051	ISOXSUPRINE	BMUKKTUHUDJSNZ-UHFFFAOYSA-N	CC(COc1ccccc1)NC(C)C(O)c1ccc(O)cc1	1.0	0.0				
CHEMBL1096979	BENSERAZIDE	BNQDCRGUHNALGH-UHFFFAOYSA-N	NC(CO)C(=O)NNCc1ccc(O)c(O)c1O	0.0	0.0				
CHEMBL53538		BNRNXUUZRGQAQC-UHFFFAOYSA-N	CCCc1nn(C)c2c(=O)[nH]c(-c3cc(S(=O)(=O)N4CCN(C)CC4)ccc3OCC)nc12	0.0	1.0	0.0	5.8239	5.3979	
CHEMBL18540		BOEGTKLJZSQCCD-UHFFFAOYSA-N	CC1=C(C(=O)O)N2C(=O)C(NC(=O)C(N)c3ccc(O)cc3)C2SC1	0.0	0.0	0.0			
		BOJKULTULYSRAS-WLRTZDKTSA-N	C=C1CCC2C(C)(CO)C(O)CCC2(C)C1C/C=C1/C(=O)OCC1O	0.0	0.0				
CHEMBL11697		BOKVLBSSPUTWLV-UHFFFAOYSA-N	COc1cc2c(cc1O)C(Cc1ccc(O)cc1)N(C)CC2	0.0	0.0				
CHEMBL562377	KHONKLONGINOL F	BPGVKIFGOXGHPB-UHFFFAOYSA-N	CC(C)=CCc1c2c(c(O)c3c(=O)c(O)c(-c4ccccc4)oc13)C=CC(C)(C)O2	0.0	0.0				
CHEMBL297362	XYLAZINE	BPICBUSOMSTKRF-UHFFFAOYSA-N	Cc1cccc(C)c1NC1=NCCCS1	0.0	0.0				
CHEMBL615	PENICILLIN V	BPLBGHOLXOTWMN-UHFFFAOYSA-N	CC1(C)SC2C(NC(=O)COc3ccccc3)C(=O)N2C1C(=O)O	0.0					
CHEMBL1496	ROSUVASTATIN	BPRHUIZQVSMCRT-MDZDMXLPSA-N	CC(C)c1nc(N(C)S(C)(=O)=O)nc(-c2ccc(F)cc2)c1/C=C/C(O)CC(O)CC(=O)O	1.0	1.0	1.0			
CHEMBL501680	BILIRUBIN	BPYKTIZUTYGOLE-IFADSCNNSA-N	C=CC1=C(C)/C(=C/c2[nH]c(Cc3[nH]c(/C=C4\NC(=O)C(C)=C4C=C)c(C)c3CCC(=O)O)c(CCC(=O)O)c2C)NC1=O	1.0	1.0		4.7011		
		BQDRKSSNLHIYIM-UHFFFAOYSA-N	CC1(C)C(=O)CCC2(C)C1CC(O)C1(C)C3=CC(=O)OC(c4ccoc4)C3(C)CCC21	1.0	1.0				
		BREPPWAHZGIJAF-UHFFFAOYSA-N	[NH]C(=O)NC1NC(=O)NC1=O	0.0	0.0				
CHEMBL1303473		BRZANEXCSZCZCI-UHFFFAOYSA-N	Cc1c(NC(=O)c2cccnc2)c(=O)n(-c2ccccc2)n1C	0.0					
CHEMBL215226	GENETICIN	BRZYSWJRSDMWLG-UHFFFAOYSA-N	CNC1C(O)C(OC2C(N)CC(N)C(OC3OC(C(C)O)C(O)C(O)C3N)C2O)OCC1(C)O	0.0					
CHEMBL1522104	ISOKOBUSONE	BSFUDCIRZBAPDS-UHFFFAOYSA-N	C=C1CCC2C(CC2(C)C)C(=O)CCC1O	0.0	0.0				
CHEMBL25	ASPIRIN	BSYNRYMUTXBXSQ-UHFFFAOYSA-N	CC(=O)Oc1ccccc1C(=O)O		0.0				
		BSZLLSHGSWKZRE-UHFFFAOYSA-N	CC1(C)C(O)CC(=O)C2(C)C1CC(=O)C1(C)C2CCC2(C)C(c3ccoc3)OC(=O)C3OC321	1.0	0.0				
CHEMBL404	TAZOBACTAM	BTCSSZJGUNDROE-UHFFFAOYSA-N	NCCCC(=O)O	0.0	0.0				
CHEMBL8706	CLORGILINE	BTFHLQRNAMSNLC-UHFFFAOYSA-N	C#CCN(C)CCCOc1ccc(Cl)cc1Cl	0.0	0.0		3.8069		
CHEMBL1491875	BENFOTIAMINE	BTNNPSLJPBRMLZ-GHRIWEEISA-N	C/C(=C(/CCOP(=O)(O)O)SC(=O)c1ccccc1)N(C=O)Cc1cnc(C)nc1N	0.0	0.0				
CHEMBL11985		BUGYDGFZZOZRHP-UHFFFAOYSA-N	CC12CC3CC(C)(C1)CC(N)(C3)C2	0.0	0.0	0.0			
CHEMBL1605941		BUVRFGBECZFCRL-UHFFFAOYSA-N	CCC(C)C(=O)OC1CC2(C)C(c3ccoc3)OC(=O)CC23OC2(C)OC34C(OC(=O)C(C)C)C3(O)C(OC(=O)C5(C)OC5C)C5(C)CC3(O)C(C)(C5CC(=O)OC)C14O2	1.0	1.0				
CHEMBL1887067	NALED	BUYMVQAILCEWRR-UHFFFAOYSA-N	COP(=O)(OC)OC(Br)C(Cl)(Cl)Br	0.0					
CHEMBL273791		BVPWJMCABCPUQY-UHFFFAOYSA-N	COc1cc(N)c(Cl)cc1C(=O)NC1CCN(Cc2ccccc2)CC1	0.0					
CHEMBL251680	COUMAPHOS	BXNANOICGRISHX-UHFFFAOYSA-N	CCOP(=S)(OCC)Oc1ccc2c(C)c(Cl)c(=O)oc2c1	0.0					
CHEMBL7169		BYJAVTDNIXVSPW-UHFFFAOYSA-N	c1ccc2c(c1)CCCC2C1=NCCN1	0.0					
CHEMBL628	PENTOXIFYLLINE	BYPFEZZEUUWMEJ-UHFFFAOYSA-N	CC(=O)CCCCn1c(=O)c2c(ncn2C)n(C)c1=O	0.0	0.0				
CHEMBL318457		BYTNEISLBIENSA-MDZDMXLPSA-N	CC(C)c1onc(-c2c(Cl)cccc2Cl)c1COc1ccc(/C=C/c2cccc(C(=O)O)c2)c(Cl)c1	0.0			4.4895		
CHEMBL121893		BZEWSEKUUPWQDQ-UHFFFAOYSA-N	CCCCOc1ccc(C(=O)CCN2CCCCC2)cc1		0.0				
CHEMBL18351		BZKORUNDAHVLAO-UHFFFAOYSA-N	COc1ccc2oc(-c3ccccc3)c(OC)c(=O)c2c1	0.0	0.0				
CHEMBL20	ACETAZOLAMIDE	BZKPWHYZMXOIDC-UHFFFAOYSA-N	CC(=O)Nc1nnc(S(N)(=O)=O)s1	0.0	0.0				
CHEMBL78764		CADNMISJDLVPCK-UHFFFAOYSA-N	CCCCCCCCCCCCC(C(=O)O)C(C)C(=O)O	0.0	0.0				
		CAHGCLMLTWQZNJ-UHFFFAOYSA-N	CC(C)=CCCC(C)C1CCC2(C)C3=C(CCC12C)C1(C)CCC(O)C(C)(C)C1CC3	0.0	0.0				
CHEMBL855	TRIPROLIDINE	CBEQULMOCCWAQT-WOJGMQOQSA-N	Cc1ccc(/C(=C\CN2CCCC2)c2ccccn2)cc1	0.0	0.0				
		CBGUOGMQLZIXBE-UHFFFAOYSA-N	CCC(=O)OC1(C(=O)CCl)C(C)CC2C3CCC4=CC(=O)C=CC4(C)C3(F)C(O)CC21C	1.0	1.0				
CHEMBL294989		CBPJQFCAFFNICX-UHFFFAOYSA-N	CC(C)CC(NC(=O)OCC1c2ccccc2-c2ccccc21)C(=O)O	1.0	1.0				
